country,region,Antisemitism Index,"Population, total","Population, female (% of total)","Population, male (% of total)",GDP per capita (current US$),Internet users (per 100 people),"Labor force, female (% of total labor force)",Official entrance age to pre-primary education (years),"Unemployment, total (% of total labor force)","Unemployment, female (% of female labor force)",Democracy Index
Algeria,Muslim-majority,87.0,36381268.92307692,49.49019934036524,50.50980065963476,4334.500249177893,17.497009203230768,17.027401533330767,4.833333333333333,11.900000132047222,20.300000117375305,38.3
Argentina,Latin America,24.0,41257633.538461536,51.08037510816007,48.919624891839916,9739.82271380015,42.87211957076923,41.034057988069776,3.0,8.59999997799213,10.307692381051876,68.4
Armenia,Eastern/Central/Southern Europe,58.0,2918964.6153846155,53.07997616943692,46.92002383056308,3125.960298607652,27.34155512823077,46.57507542822092,3.0,17.49230766296386,19.384615384615383,41.3
Australia,Oceania,14.0,22044859.384615384,50.0713874869277,49.9286125130723,50176.35631698304,76.59253102333334,45.232228854094856,4.0,5.269230695871206,5.392307721651516,90.1
Austria,Western Europe/North America,28.0,8401173.615384616,51.23759832820452,48.76240167179548,46197.93464725161,73.49139116923077,46.05428721095972,3.0,5.215384630056528,5.200000066023606,85.39999999999999
Azerbaijan,Muslim-majority,37.0,9027810.461538462,50.470642253202556,49.52935774679746,5011.229426374182,44.37021414133334,49.52511601133589,3.0,5.838461545797495,6.523076937748835,28.3
Bahrain,Muslim-majority,81.0,1175470.923076923,38.48683039776636,61.51316960223364,21414.396249035584,61.60367599769231,21.172029381322222,3.0,1.2692307784007153,4.315384571368879,28.700000000000003
Bangladesh,Muslim-majority,32.0,152263338.07692307,49.35635599166554,50.64364400833445,794.7787178781492,5.785970127692307,26.15064164567273,3.0,4.269230732550988,5.576923040243296,57.800000000000004
Belarus,Eastern/Central/Southern Europe,38.0,9535398.615384616,53.448559149606936,46.551440850393085,5566.42456655259,41.48108558363637,49.57310844937202,3.0,0.6461538397348844,0.6461538397348844,36.9
Belgium,Western Europe/North America,27.0,10897360.23076923,50.89378968267311,49.10621031732689,43193.48517031879,72.76227588846155,45.012556196696664,3.0,7.884615347935603,8.138461553133451,79.3
